date,event_count,severity,sentiment_score,impact_score,event_weight,event_type,affected_product,direction,title
1/1/2021,0,0,0,0,0,0,0,0,0
1/2/2021,0,0,0,0,0,0,0,0,0
1/3/2021,0,0,0,0,0,0,0,0,0
1/4/2021,2,6,0.160449735,0.273563802,0.0404,supply_chain,General,HIGH,Foxconn Seals Manufacturing Deal With Chinese EV Startup Byton
1/5/2021,6,6,0.030041152,0.24020417,0.0425,regulatory,General,LOW,China’s Dreams of Self-Reliance Still Depend on Japan Inc.
1/6/2021,2,2,0.086666667,0.286228955,0.0429,general,General,HIGH,Neil Young strikes heart of gold with 50% sale of song catalog to publishing house
1/7/2021,3,6,0.733333333,0.24020417,0.0414,general,General,HIGH,Dow Jones Futures Rise: Congress Certifies Biden Win After Pro-Trump Mob Stormed Capitol Hill; These 5 Stocks Are Buys
1/8/2021,8,3,0.137634105,0.301014245,0.04,general,General,LOW,3 Diversified SPAC Stocks to Buy That Don’t Involve Electric Vehicles
1/9/2021,0,0,0,0,0,0,0,0,0
1/10/2021,0,0,0,0,0,0,0,0,0
1/11/2021,0,0,0,0,0,0,0,0,0
1/12/2021,5,6,0.149462121,0.252274841,0.0387,general,General,HIGH,The World’s Top Maker of Mini Motors Bets It Can Win Over Tesla
1/13/2021,5,6,0.094196429,0.282578766,0.0398,general,General,LOW,Media should ‘stop giving Trump a platform’: Billionaire media mogul
1/14/2021,3,2,0.163822751,0.258427024,0.0391,general,General,LOW,Influencers with Andy Serwer: Haim Saban
1/15/2021,15,2,0.213742236,0.285918891,0.04,general,General,HIGH,Biden is ‘the right man to address inequality’: Democratic megadonor
1/16/2021,0,0,0,0,0,0,0,0,0
1/17/2021,0,0,0,0,0,0,0,0,0
1/18/2021,0,0,0,0,0,0,0,0,0
1/19/2021,5,8,0.143849871,0.26976487,0.0398,general,General,HIGH,DataTrek co-Founder on his outlook for the S&amp;P 500
1/20/2021,2,6,0.061616162,0.244646236,0.0378,supply_chain,General,HIGH,MediaTek taps TSMC 6-nanometer tech for new flagship 5G phone chips
1/21/2021,5,6,0.164362519,0.254042745,0.0396,product_launch,Vision_Pro,HIGH,Apple’s First Headset to Be Niche Precursor to Eventual AR Glasses
1/22/2021,8,8,0.042979798,0.263831079,0.0428,earnings_miss,General,HIGH,"IBM's Q4 Earnings Beat Estimates, Stock Down on Revenue Miss"
1/23/2021,0,0,0,0,0,0,0,0,0
1/24/2021,0,0,0,0,0,0,0,0,0
1/25/2021,8,2,0.011111111,0.261261523,0.04,general,General,NEUTRAL,Roblox’s IPO Is Coming. How to Play the Videogame Boom.
1/26/2021,7,6,0.120818182,0.243374586,0.0395,general,General,LOW,Steve Case on the innovation economy in 2021
1/27/2021,4,2,0.232010101,0.237753332,0.0394,general,General,LOW,Kenyan tech entrepreneur explains why he turned down a scholarship to Harvard
1/28/2021,8,8,0.058989899,0.233935967,0.0423,earnings_miss,General,LOW,Samsung Net Profit Misses Estimates After 5G iPhone’s Debut
1/29/2021,5,8,-0.076388889,0.233241051,0.0394,general,General,HIGH,"Dow Jones Down 575 Points; GameStop, AMC Soar; This Financial Stock Breaks Out"
1/30/2021,0,0,0,0,0,0,0,0,0
1/31/2021,0,0,0,0,0,0,0,0,0
2/1/2021,2,0,0.023320158,0.227166682,0.0394,general,General,HIGH,New Strong Buy Stocks for February 1st
2/2/2021,4,2,0,0.253902495,0.0404,general,General,LOW,"Apple Could Partner With Hyundai for Apple Car, Says Analyst"
2/3/2021,2,2,0.3,0.244943857,0.0402,general,General,HIGH,Ignore GameStop: Here Are 3 Better Stocks
2/4/2021,5,8,0.119246881,0.271018237,0.041,general,General,NEUTRAL,"Sony Surges to 20-Year High as IPhone, Games Spur Outlook Hike"
2/5/2021,8,6,0.012643678,0.293345422,0.0419,general,General,NEUTRAL,"Apple Talks With Hyundai, Kia on Electric Car Paused Recently"
2/6/2021,0,0,0,0,0,0,0,0,0
2/7/2021,0,0,0,0,0,0,0,0,0
2/8/2021,17,5,0.079334416,0.301326722,0.0423,general,General,LOW,"Apple Car Talks Aren’t Happening, Say Automakers Hyundai, Kia"
2/9/2021,6,8,0.057925408,0.27099514,0.0415,general,General,NEUTRAL,Contactless Payments Gaining Traction: 5 Stocks to Watch
2/10/2021,9,4,0.047177419,0.400574148,0.0458,general,General,NEUTRAL,Who Will Build the Apple Car? Here Are Candidates to Watch
2/11/2021,9,8,0.042916667,0.289051533,0.0421,general,General,NEUTRAL,15 Fastest-Growing Software Companies
2/12/2021,1,8,0.057670455,0.246345714,0.0405,regulatory,General,LOW,"Google, Microsoft, Qualcomm Protest Nvidia’s Acquisition of Arm Ltd."
2/13/2021,0,0,0,0,0,0,0,0,0
2/14/2021,0,0,0,0,0,0,0,0,0
2/15/2021,0,0,0,0,0,0,0,0,0
2/16/2021,2,2,0.036590909,0.25988704,0.0417,general,General,LOW,Dow Jones Hits New High As Stock Market Gains Fade; Bitcoin Soars Again
2/17/2021,10,8,0.168725349,0.316773117,0.0436,general,General,LOW,Top 15 Serial Entrepreneurs In The World
2/18/2021,11,2,0.026157407,0.314689279,0.0436,general,General,NEUTRAL,"You can now sort company ratings by race, gender identity on Glassdoor"
2/19/2021,13,0,-0.033333333,0.31226024,0.0436,general,General,LOW,Dow Jones Closes At Break-Even After Paring Earlier Gains; These Travel Stocks Break Out
2/20/2021,0,0,0,0,0,0,0,0,0
2/21/2021,0,0,0,0,0,0,0,0,0
2/22/2021,10,4,0,0.331794977,0.0445,general,General,NEUTRAL,"Dow Jones Futures Signal Stock Market Rally Retreat; Tesla Model Y SR+ Pulled, Boeing 777 Jets In Focus"
2/23/2021,8,0,0.048611111,0.391433328,0.0466,general,General,NEUTRAL,"Dow Jones Futures Rise, Tech Futures Dive As Bitcoin Tumbles; ZoomInfo Leads Earnings Movers"
2/24/2021,5,2,0.023981481,0.332804501,0.0447,general,General,LOW,Lessons to take from previous market bubbles
2/25/2021,10,6,0.139745196,0.360556275,0.0453,regulatory,General,NEUTRAL,"Governments need more money to fight Google antitrust cases, lawyer tells Congress"
2/26/2021,18,6,0.14291588,0.535648108,0.0518,general,General,HIGH,C3.ai Has Great Pedigree and Is Set for Better Days
2/27/2021,0,0,0,0,0,0,0,0,0
2/28/2021,0,0,0,0,0,0,0,0,0
3/1/2021,8,6,0.115568382,0.379431099,0.0468,general,General,LOW,5 Top-Rated S&amp;P 500 Growth Stocks to Buy in March
3/2/2021,14,2,-0.013575758,0.374014378,0.0467,general,General,LOW,Steve Wozniak’s K-12 Education Program Woz ED  Announces Exclusive Strategic Partnership with Draganfly
3/3/2021,5,5,-0.079166667,0.260631591,0.0429,general,General,LOW,"Dow Reverses, Tech Stocks Sell Off As Jobs Data Disappoints; Bitcoin Surges Above $52,000"
3/4/2021,13,6,0.168574134,0.270531863,0.0465,earnings_miss,General,HIGH,Broadcom Falls After Chip Sales Miss IPhone-Fueled Expectations
3/5/2021,18,6,0.129166667,0.493047178,0.051,general,General,LOW,"Dow Slashes Gains, Tech Stocks Slide As Yields Jump After Strong Jobs Report; Tesla Dives Again"
3/6/2021,0,0,0,0,0,0,0,0,0
3/7/2021,0,0,0,0,0,0,0,0,0
3/8/2021,12,0,0.016666667,0.334236592,0.0457,general,General,HIGH,Dow Jones Rises Over 300 Points While Tech Stocks Sell Off; Treasury Yields Near Recent Highs
3/9/2021,16,6,0.117825987,0.464057505,0.0505,product_launch,General,LOW,EV Updates 3/9/2021 – A Future In The Making
3/10/2021,21,5,0.311363636,0.300635397,0.0448,general,General,HIGH,"Is Now The Time To Buy Stock In Sundial Growers, Tilray, Apple Or Carnival?"
3/11/2021,15,8,0.130617132,0.429405391,0.0494,general,General,LOW,Warren Buffett's Net Worth Eclipses $100 Billion
3/12/2021,11,8,0.411111111,0.317852736,0.0456,general,General,HIGH,"5 Top ""Winners Keep Winning"" Stocks"
3/13/2021,0,0,0,0,0,0,0,0,0
3/14/2021,0,0,0,0,0,0,0,0,0
3/15/2021,15,8,0.073726852,0.360556275,0.0468,regulatory,General,HIGH,Xiaomi Jumps After U.S. Trading Ban on Phone Maker Is Halted
3/16/2021,32,2,0.3,0.371730238,0.0478,general,General,LOW,Dow Jones Falls As Nasdaq Rallies; Apple Stock Up As Tech Rebounds; Moderna Pops On This
3/17/2021,27,6,0.056838095,0.472346872,0.0513,general,General,LOW,Coming to a TV Near You: Ad Fraud That Costs Marketers Millions
3/18/2021,22,8,0.019786096,0.287874401,0.044,regulatory,General,NEUTRAL,Google's Chrome Browser Cookie Blocking Triggers Antitrust Probe: Reuters
3/19/2021,26,8,0.4625,0.248222068,0.0456,earnings_miss,General,HIGH,"Best Dow Jones Stocks To Buy And Watch In March 2021: Apple Falls, Nike Dives 5% On Earnings"
3/20/2021,0,0,0,0,0,0,0,0,0
3/21/2021,0,0,0,0,0,0,0,0,0
3/22/2021,34,7,-0.039402681,0.245541736,0.0429,regulatory,General,LOW,"Oracle to Sell $15 Billion of Debt, Drawing Two Rating Cuts"
3/23/2021,18,2,0.141184573,0.256222814,0.0428,general,General,LOW,Intel CEO: 'We will pursue opportunities with Apple'
3/24/2021,21,8,0.3,0.274601519,0.0435,general,General,NEUTRAL,Dow Jones Rallies As These Plays Flourish; GameStop Sinks As Tech Stocks Flounder
3/25/2021,19,2,0.115123457,0.282656252,0.0444,legal,General,HIGH,Invacare Corporation Appoints Stephanie L. Fehr to Board of Directors
3/26/2021,30,8,0.0765625,0.272820085,0.044,regulatory,General,NEUTRAL,H&amp;M Stores Vanish From China Maps as Xinjiang Spat Worsens
3/27/2021,0,0,0,0,0,0,0,0,0
3/28/2021,0,0,0,0,0,0,0,0,0
3/29/2021,22,6,0.096804408,0.264197946,0.0441,legal,General,LOW,Apple loses legal challenge to Swatch using Steve Jobs' 'One more thing' phrase
3/30/2021,40,8,0.070259042,0.3102898,0.0467,supply_chain,General,HIGH,"U.S.-China Tensions Worsened Chip Crunch, TSMC Chairman Says"
